Date,BTCUSDT,ETHUSDT,Portfolio_risk_level,Portfolio_market_cap,Portfolio_equal
2021-08-31,1.1524823562807724,1.213295272053258,1.3704033647030345,1.3021598546864404,1.663973515983492
2021-09-30,1.072258493945831,1.0611739570289562,1.2743893225697318,1.1934401911159005,1.4949425894754624
2021-10-31,1.4999265864664613,1.516405968121909,1.7566781540032175,1.6491853256338345,1.9268802372962608
2021-11-30,1.3930976595765525,1.6376750076051818,1.6860833872102619,1.6044882114304582,1.7610750146919587
2021-12-31,1.1309697438357118,1.3006345904875103,1.3713051628922446,1.301269624037669,1.4480467480887396
2022-01-31,0.9413401395835995,0.9503682322728528,1.0644888828633918,1.0147779861495319,1.0954424931623779
2022-02-28,1.0566605651863248,1.0335830662676604,1.1615924427293216,1.115224139465817,1.157711717625934
2022-03-31,1.1138448135785686,1.1606178944613061,1.2727141318288566,1.219051766167433,1.2911594161960374
2022-04-30,0.9208455281369621,0.9646023020707325,1.0254793710397903,0.988098118873021,1.0018227972118894
2022-05-31,0.7780537582834952,0.6870237918373419,0.7845294374159091,0.7642409361078838,0.7221048862233318
2022-06-30,0.4879014496725763,0.37899625754327926,0.5025707004526965,0.47624481249202805,0.5083050396095077
2022-07-31,0.5700707706463336,0.5935932536734801,0.6329099734390532,0.6151509912557098,0.6138510982505557
2022-08-31,0.49079149577627573,0.5496671406640212,0.5502030057335934,0.5405238728870849,0.5298329286649219
2022-09-30,0.475279216139232,0.4699506901259986,0.5356075125060318,0.5168882227458522,0.5544893520642624
2022-10-31,0.5014633764352358,0.5563314019709806,0.5941105000622253,0.5694297062406974,0.6449986402700788
2022-11-30,0.4200110609723876,0.45793804076377276,0.4699496185953461,0.46080630900199604,0.492350400532569
2022-12-31,0.40475328158495,0.4231346081739786,0.4193291954810226,0.4204613968934221,0.3959989787791752
2023-01-31,0.5660207907126997,0.5607954666044106,0.6142764434649672,0.5972994000461278,0.6035875664522243
2023-02-28,0.5662165601354738,0.5678276064548539,0.6011939513219959,0.5906312486735269,0.5635281145708799
2023-03-31,0.6966259139984948,0.6444772233659481,0.7040384338199677,0.6986112478037148,0.641976724432891
2023-04-30,0.7153414708156753,0.6615305162326413,0.7217360063102121,0.7146879062779503,0.6479995141139895
2023-05-31,0.6658999030941376,0.6627119723242149,0.6892082502044268,0.6869166253803572,0.6256811591611711
2023-06-30,0.7457615919969481,0.684070151608408,0.714658213635015,0.719662963427366,0.5898170853136198
2023-07-31,0.7153953074069385,0.6566313644756671,0.7387575222030315,0.7274829279758216,0.6848687867334371
2023-08-31,0.634792141815372,0.5822208544686635,0.6411793682597247,0.6352570641802072,0.5696881168515022
2023-09-30,0.6598114740458707,0.5910817751554646,0.6611366741661824,0.6538579108194265,0.5807877003209709
2023-10-31,0.8476693650218797,0.6419834313163695,0.8299173024700108,0.8010110354311872,0.7263220108918345
2023-11-30,0.9230454870253847,0.7257147101895296,0.9621714247222185,0.9116491965234694,0.8847863584238838
2023-12-31,1.0345728800618672,0.8073023890881581,1.1424389259716488,1.0596008798230803,1.1117527987294278
2024-01-31,1.0421075557208763,0.807631357401081,1.1168072676124787,1.0433719566682889,1.0200700642188854
2024-02-29,1.4962461213183176,1.181693090250513,1.5788174628800506,1.4842318099660725,1.3908841753072159
2024-03-31,1.7439262536584474,1.289315250688006,1.9056372870464011,1.7311773160021846,1.7883880132009777
2024-04-30,1.4846761484323816,1.0661580038344285,1.5182162664591017,1.4093759517286597,1.3015981881841698
2024-05-31,1.652695255528045,1.330489349208711,1.7653281051042364,1.6403180893792224,1.5003917476562503
2024-06-30,1.536041150732673,1.216061435716765,1.6097770939644802,1.5039344710501934,1.3293256945596725
2024-07-31,1.5816578733567668,1.1433276029175634,1.660377161251667,1.5301121146993748,1.4224696987643228
2024-08-31,1.4431289826842009,0.8889749630352838,1.4311761254087219,1.3130069035191299,1.216615091898677
2024-09-30,1.5497596930335509,0.9205382346074692,1.538365725928315,1.401543894246463,1.3277838216318933
2024-10-31,1.7202797545051502,0.8908709524517006,1.6337955246865505,1.4649797934722009,1.3900528631345828
2024-11-30,2.358906529889106,1.3099518220599808,2.6279970664647205,2.2965958170970504,3.0338514628159263
2024-12-31,2.289873337183474,1.1806460513190586,2.424221642019848,2.1386586054556727,2.6762280325831913
2025-01-31,2.5067369152612144,1.1675934376127524,2.6667976248468523,2.3175745349293275,3.0940488106856505
2025-02-28,2.0638453030021315,0.7913774929077263,1.9840408935569516,1.731882624381671,2.136150218431766
2025-03-31,2.0199684811229393,0.644558581120756,1.8359297757783974,1.5938872816134328,1.9775459720660378
2025-04-30,2.3047395777253628,0.6344702195244459,2.003308223886658,1.7213077005357738,2.1184386843843637
2025-05-31,2.5595236929943987,0.8943410375589838,2.3392621072848945,2.0561791096483915,2.3620895787174647
2025-06-30,2.6219790330948283,0.8791695849339577,2.3242464191743646,2.051143626945323,2.2487554407379005
2025-07-31,2.8330331535517543,1.3085015316481656,2.819165858522372,2.5331493792828246,2.847182400575173
2025-08-31,2.64888019890174,1.5537031927612808,2.9083702063160395,2.631161042125303,3.000997036018918
2025-09-30,2.8172467967228285,1.6085984534951987,3.1461209734858855,2.811520182059204,3.3637546573715906
